fg%,3p%,ft,tov%,ortg_max,drtg_max,home
0.566,0.32,12.0,10.9,173.0,126.0,0
0.481,0.359,20.0,13.1,196.0,112.0,0
0.421,0.28,33.0,18.1,142.0,109.0,0
0.407,0.306,17.0,9.0,164.0,121.0,0
0.453,0.24,18.0,10.4,300.0,107.0,1
0.42,0.308,11.0,13.7,151.0,113.0,1
0.468,0.379,9.0,15.3,123.0,118.0,0
0.488,0.382,14.0,11.8,280.0,135.0,1
0.476,0.313,19.0,12.0,160.0,117.0,0
0.547,0.333,15.0,16.3,200.0,114.0,1
0.467,0.118,10.0,10.4,200.0,95.0,1
0.44,0.235,31.0,9.8,161.0,127.0,1
0.562,0.517,12.0,15.7,200.0,112.0,1
0.464,0.439,17.0,11.4,220.0,141.0,1
0.443,0.429,14.0,11.3,156.0,100.0,1
0.472,0.333,18.0,11.9,168.0,113.0,1
0.446,0.4,12.0,10.6,300.0,134.0,0
0.462,0.45,9.0,8.5,248.0,132.0,0
0.438,0.414,24.0,12.3,233.0,112.0,1
0.442,0.412,15.0,10.4,151.0,114.0,0
0.512,0.292,21.0,14.1,140.0,117.0,0
0.573,0.412,23.0,18.4,187.0,124.0,0
0.39,0.379,14.0,14.4,171.0,89.0,1
0.471,0.395,19.0,12.5,188.0,129.0,1
0.413,0.233,25.0,6.3,154.0,117.0,0
0.495,0.31,16.0,11.7,160.0,128.0,1
0.474,0.268,19.0,10.2,137.0,127.0,1
0.463,0.371,18.0,19.0,162.0,126.0,1
0.454,0.273,18.0,9.3,158.0,103.0,1
0.47,0.457,13.0,17.5,129.0,114.0,0
0.5,0.391,13.0,10.1,228.0,120.0,1
0.392,0.455,14.0,12.5,164.0,119.0,0
0.427,0.32,18.0,13.2,129.0,109.0,0
0.42,0.2,21.0,16.2,250.0,113.0,1
0.438,0.25,14.0,16.3,162.0,139.0,1
0.466,0.167,25.0,6.6,227.0,129.0,1
0.458,0.423,20.0,14.4,151.0,112.0,1
0.5,0.472,17.0,18.3,187.0,113.0,1
0.446,0.324,21.0,12.0,172.0,110.0,0
0.422,0.324,19.0,11.2,230.0,148.0,0
0.494,0.321,15.0,12.5,273.0,132.0,0
0.523,0.459,20.0,12.6,163.0,108.0,1
0.476,0.419,20.0,10.4,181.0,120.0,0
0.42,0.25,18.0,21.2,151.0,115.0,0
0.511,0.425,17.0,12.5,189.0,130.0,0
0.48,0.382,25.0,14.5,153.0,117.0,0
0.478,0.421,25.0,11.7,142.0,115.0,1
0.432,0.323,21.0,12.3,250.0,130.0,1
0.495,0.415,17.0,6.8,168.0,117.0,1
0.472,0.44,11.0,8.6,166.0,112.0,0
0.416,0.36,13.0,12.6,224.0,116.0,1
0.48,0.5,23.0,10.6,263.0,112.0,0
0.566,0.444,15.0,15.1,164.0,112.0,0
0.398,0.303,10.0,13.0,147.0,119.0,1
0.506,0.5,12.0,7.7,300.0,117.0,1
0.374,0.194,17.0,11.2,115.0,117.0,0
0.419,0.303,13.0,14.5,147.0,118.0,0
0.429,0.28,15.0,13.9,181.0,117.0,0
0.488,0.475,14.0,16.7,151.0,118.0,1
0.5,0.375,28.0,15.4,154.0,122.0,1
0.452,0.385,9.0,10.1,156.0,126.0,1
0.417,0.455,15.0,6.3,191.0,127.0,1
0.458,0.375,27.0,13.9,184.0,116.0,0
0.488,0.281,17.0,13.6,160.0,129.0,1
0.384,0.28,20.0,14.0,187.0,126.0,1
0.379,0.29,26.0,11.4,211.0,127.0,1
0.385,0.286,21.0,12.2,229.0,128.0,0
0.524,0.429,14.0,9.7,157.0,117.0,0
0.515,0.231,18.0,7.5,211.0,126.0,0
0.495,0.344,8.0,7.3,203.0,117.0,1
0.443,0.393,24.0,12.4,143.0,121.0,0
0.523,0.425,11.0,15.1,173.0,123.0,0
0.466,0.519,28.0,13.6,149.0,118.0,1
0.562,0.516,15.0,11.8,143.0,129.0,1
0.375,0.313,5.0,18.0,178.0,125.0,1
0.36,0.105,13.0,8.0,155.0,107.0,1
0.489,0.314,19.0,9.4,209.0,103.0,1
0.427,0.317,18.0,11.5,124.0,127.0,1
0.49,0.357,27.0,11.4,148.0,140.0,0
0.5,0.448,26.0,7.9,155.0,113.0,0
0.5,0.34,25.0,12.4,169.0,132.0,1
0.449,0.333,24.0,20.9,149.0,102.0,1
0.464,0.474,14.0,8.7,193.0,121.0,1
0.443,0.25,30.0,7.6,180.0,133.0,1
0.438,0.364,22.0,10.8,182.0,126.0,0
0.433,0.347,13.0,11.0,211.0,108.0,0
0.526,0.531,24.0,15.0,182.0,126.0,0
0.443,0.333,21.0,12.6,141.0,105.0,1
0.493,0.261,20.0,15.1,300.0,137.0,0
0.538,0.438,11.0,13.9,171.0,141.0,0
0.472,0.243,23.0,8.3,160.0,121.0,1
0.506,0.429,18.0,13.4,129.0,124.0,0
0.478,0.406,9.0,9.3,156.0,123.0,0
0.427,0.375,19.0,6.9,186.0,110.0,1
0.357,0.324,15.0,8.7,165.0,125.0,1
0.479,0.292,22.0,9.3,215.0,137.0,1
0.429,0.259,21.0,10.3,157.0,102.0,1
0.506,0.333,21.0,10.1,188.0,127.0,1
0.451,0.424,18.0,18.7,187.0,122.0,0
0.347,0.258,8.0,10.5,137.0,107.0,0
0.397,0.208,16.0,17.6,114.0,108.0,0
0.447,0.364,25.0,13.0,187.0,123.0,1
0.591,0.357,15.0,9.3,206.0,110.0,1
0.407,0.306,23.0,11.7,212.0,127.0,0
0.424,0.28,10.0,18.1,200.0,124.0,0
0.566,0.488,12.0,14.4,218.0,130.0,0
0.461,0.364,16.0,11.5,169.0,114.0,1
0.467,0.444,12.0,8.5,177.0,96.0,1
0.439,0.343,13.0,9.3,127.0,111.0,1
0.464,0.433,20.0,9.6,213.0,106.0,0
0.544,0.464,18.0,13.5,146.0,115.0,0
0.333,0.214,15.0,15.7,221.0,109.0,0
0.447,0.222,18.0,11.3,144.0,129.0,0
0.427,0.357,29.0,17.4,154.0,111.0,1
0.424,0.4,11.0,15.6,231.0,126.0,1
0.466,0.375,16.0,7.7,210.0,117.0,1
0.42,0.36,8.0,15.8,150.0,112.0,0
